producto_id,componente_id,cantidad,nota
roni,peperoni,0.07,pizza
roni,queso-monterrey,0.12,pizza
roni,masa-base,1,pizza
roni,salsa-tomate,1,pizza
roni,caja-kraft,1,pizza
roni,sticker,1,pizza
aloha,jamon,0.07,pizza
aloha,pina,0.08,pizza
aloha,queso-monterrey,0.12,pizza
aloha,masa-base,1,pizza
aloha,salsa-tomate,1,pizza
aloha,caja-kraft,1,pizza
aloha,sticker,1,pizza
newyork,crema,0.05,pizza
newyork,vodka,0.02,pizza
newyork,queso-monterrey,0.15,pizza
newyork,masa-base,1,pizza
newyork,salsa-tomate,1,pizza
newyork,caja-kraft,1,pizza
newyork,sticker,1,pizza
provola,queso-provolone,0.12,pizza
provola,queso-monterrey,0.12,pizza
provola,masa-base,1,pizza
provola,salsa-tomate,1,pizza
provola,caja-kraft,1,pizza
provola,sticker,1,pizza
chisi,queso-provolone,0.06,pizza
chisi,queso-parmesano,0.02,pizza
chisi,queso-gorgonzola,0.03,pizza
chisi,queso-monterrey,0.12,pizza
chisi,masa-base,1,pizza
chisi,salsa-tomate,1,pizza
chisi,caja-kraft,1,pizza
chisi,sticker,1,pizza
combinada,jamon,0.06,pizza
combinada,peperoni,0.035,pizza
combinada,champinones,0.04,pizza
combinada,pimiento-verde,0.06,pizza
combinada,cebolla,0.02,pizza
combinada,queso-monterrey,0.12,pizza
combinada,masa-base,1,pizza
combinada,salsa-tomate,1,pizza
combinada,caja-kraft,1,pizza
combinada,sticker,1,pizza
traviesa,peperoni,0.07,pizza
traviesa,queso-monterrey,0.12,pizza
traviesa,miel,0.02,pizza
traviesa,macha,0.01,pizza
traviesa,masa-base,1,pizza
traviesa,salsa-tomate,1,pizza
traviesa,caja-kraft,1,pizza
traviesa,sticker,1,pizza
serranita,jamon-serrano,0.025,pizza
serranita,queso-parmesano,0.02,pizza
serranita,arugula,0.01,pizza
serranita,queso-monterrey,0.12,pizza
serranita,masa-base,1,pizza
serranita,salsa-tomate,1,pizza
serranita,caja-kraft,1,pizza
serranita,sticker,1,pizza
cochinita,cochinita,0.12,pizza
cochinita,queso-monterrey,0.15,pizza
cochinita,morada,0.03,pizza
cochinita,habanero,0.01,pizza
cochinita,masa-base,1,pizza
cochinita,salsa-tomate,1,pizza
cochinita,caja-kraft,1,pizza
cochinita,sticker,1,pizza
chocolatoso,brownie-insumo,0.08,postre/bebida
refresco-coca,refresco-pza,1,postre/bebida
refresco-sprite,refresco-pza,1,postre/bebida
agua,agua-mineral-pza,1,postre/bebida
monterrey,queso-monterrey,0.06,complemento
provolone,queso-provolone,0.04,complemento
parmesano,queso-parmesano,0.02,complemento
gorgonzola,queso-gorgonzola,0.025,complemento
peperoni,peperoni,0.035,complemento
jamon,jamon,0.035,complemento
serrano,jamon-serrano,0.02,complemento
champinones,champinones,0.04,complemento
pina,pina,0.04,complemento
arugula,arugula,0.01,complemento
morada,morada,0.025,complemento
miel,miel,0.02,complemento
macha,macha,0.01,complemento
habanero,habanero,0.01,complemento
aoev,aoev,0.01,complemento
masa-base,harina-fuerza,1,lote
masa-base,agua,0.6,lote
masa-base,levadura,0.002,lote
masa-base,azucar,0.001,lote
masa-base,sal,0.022,lote
masa-base,aoev,0.05,lote
salsa-tomate,jitomate,1.1,lote
salsa-tomate,cebolla,0.2,lote
salsa-tomate,ajo,0.02,lote
salsa-tomate,aoev,0.15,lote
salsa-tomate,hierbas,0.005,lote
salsa-tomate,sal,0.02,lote
salsa-tomate,pimienta,0.005,lote
salsa-tomate,azucar,0.01,lote
salsa-tomate,pasta-jitomate,0.22,lote
